Cedula,Nombre,Accinista_Nombre,status_desc,monto_aprobado,fecha_desembolso,fecha_cancelacion
00117762054,Edgar Perez,Administrador Administrador,Cancelado,80000.00,2015-08-14,
22400114132,peter parket,Administrador Administrador,Mora,45000.00,2015-08-17,
22400114132,peter parket,Administrador Administrador,Mora,50000.00,2015-08-17,
22400114132,peter parket,Administrador Administrador,Mora,45000.00,2015-08-24,
22400114132,peter parket,Administrador Administrador,Normal,5000.00,2015-08-27,
22400114132,peter parket,Administrador Administrador,Normal,45000.00,2015-08-27,
22400114132,peter parket,Administrador Administrador,Normal,15000.00,2015-09-03,
22400114132,peter parket,Administrador Administrador,Normal,10000.00,2015-09-08,
00118649581,Edgar Perez,Administrador Administrador,Normal,14000.00,2015-08-27,
22400114132,peter parket,Administrador Administrador,Normal,25000.00,2015-08-27,
22400114132,peter parket,Administrador Administrador,Normal,30000.00,2015-09-01,
00118649581,Edgar Perez,Administrador Administrador,Normal,45000.00,2015-09-02,
22400114132,peter parket,Administrador Administrador,Normal,2500.00,2015-09-02,
22400114132,peter parket,Administrador Administrador,Normal,12000.00,2015-09-03,
00117762054,Edgar Perez,edgar perez,Normal,50000.00,2015-08-15,
